Verification_Status,Notes,Page_ID,has_date,date_full_text,date_year_extracted,has_two_columns,is_signed,signature_location,has_top_left_mark,additional_archivist_marks_count,total_archivist_marks_count,quondam_total,quondam_left,quondam_right,con_total,con_left,con_right,text_after_con,e_conjunction_total,e_conjunction_left,e_conjunction_right,text_after_e,named_travelers_total,named_travelers_left,named_travelers_right,unnamed_travelers_total,unnamed_travelers_left,unnamed_travelers_right,unique_places_of_origin_nationality,place_of_stay_left,place_of_stay_right,unique_places_of_stay,total_place_of_stay_with_person_name,bracket_total,bracket_left,bracket_right,has_bracket_annotation,bracket_annotation_text
FALSE,,AVS IS 758-781 1768 11 07.jpg,Y,7 November 1768,1768,yes,N,,Y,0,1,2,1,1,7,6,1,"due domestici | un segretario, dues camerieri | un domestico | due domestici | un domestico | una cameriera | un domestico",1,1,0,tre domestici,26,17,9,12,11,1,,8,15,,,3,1,2,Y,"[""tutti e tre di Piove"",""tutti e tre di Praga"",""tutti e tre di Piove""]"
FALSE,,AVS IS 758-781 1768 11 28.jpg,Y,28 November 1768,1768,yes,N,,Y,2,3,2,2,0,7,6,1,un figlio | un domestico | sua moglie | quattro domestici | un figlio | un figlio | un suo nipote,0,0,0,,22,16,6,10,9,1,,11,1,,,5,3,2,Y,"[""Inglesi"",""ambedue di Montagnana"",""ambedue di Roveredo"",""ambedue d'Ungheria"",""ambedue di Vienna""]"
FALSE,,AVS IS 758-781 1769 05 p1.jpg,Y,8 May 1769,1769,yes,N,,N,0,0,4,3,1,2,1,1,sua moglie | moglie,4,3,1,una figlia | figlia | figlia | una figlia,13,11,2,6,4,2,,21,2,,,0,0,0,N,
FALSE,,AVS IS 758-781 1769 05 p2.jpg,N,,,yes,N,,N,0,0,8,6,2,1,1,0,un figlio,0,0,0,,22,18,4,0,0,0,,20,2,,,3,2,1,Y,"[""ambedue di Montova"",""tutti di Ferrara"",""ambedue di Cento""]"
FALSE,,AVS IS 758-781 1770 03.jpg,Y,5 March 1770,1770,yes,Y,right,Y,1,2,0,0,0,2,1,1,due domestici | un domestico,0,0,0,,14,8,6,3,2,1,,9,10,,,4,3,1,Y,"[""ambedue Inglesi"",""ambedue di Lendenara"",""ambedue di Zorigo"",""ambedue di Lendenara""]"
FALSE,,AVS IS 758-781 1770 05 13.jpg,Y,13 March 1770,1770,yes,Y,right,Y,2,3,0,0,0,7,6,1,un domestico | un domestico | un domestico | un sua figlia | un domestico | un domestico | un domestico,0,0,0,,15,11,4,7,6,1,,7,3,,,2,1,1,Y,"[""ambedue di Verona"",""ambedue di Verona""]"
FALSE,,AVS IS 758-781 1770 05 17 p1.jpg,N,,,yes,Y,right,N,2,2,0,0,0,8,5,3,quattro domestici | un domestico | un domestico | quattro domestici | due domestici | un domestico | due domestici | una cameriera,0,0,0,,26,16,10,16,12,4,,7,5,,,6,4,2,Y,"[""ambedue di Udine"",""tutti e tre gentiluomini Inglesi"",""gentiluomini Inglesi"",""ambedue di Brescia"",""ambedue di Ferrara"",""tutti di Verona""]"
FALSE,,AVS IS 758-781 1770 05 17 p2.jpg,Y,21 May 1770,1770,yes,N,,Y,1,2,4,3,1,1,0,1,un domestico,0,0,0,,17,8,9,0,0,0,,7,8,,,2,1,1,Y,"[""ambedue di Verona"",""ambedue di Verona""]"
FALSE,,AVS IS 758-781 1770 05 28 p1.jpg,Y,28 May 1770,1770,yes,Y,right,Y,3,4,0,0,0,10,8,2,un domestico | un domestico | due domestici | due domestici | sua moglie | quattro domestici | quattro domestici | cinque domestici | un domestico | un domestico,0,0,0,,34,24,10,22,20,2,,4,6,,,8,7,1,Y,"[""ambedue d' Udine"",""ambedue di Milano"",""tutti e tre Francesci"",""di Brescia"",""tutti Inglesi"",""tutti e tre di Genova"",""ambedue di Gratz"",""ambedue di Baveria""]"
FALSE,,AVS IS 758-781 1770 05 28 p2.jpg,N,,,yes,N,,N,4,4,0,0,0,16,5,11,un domestico | un domestico | is suo Aggio | sua moglie | moglie | sua moglie | un suo capellano | quattro domestici | due domestici | sua moglie | sua moglie | due domestici | un figlio | un domestico | quattro domestici | un capellano,5,3,2,due domestici | una figlia | due domestici | due domestici | quattro domestici,49,22,27,32,9,23,,5,7,,,13,6,7,Y,"[""ambedue di Vienna"",""Ambedue di Piacenza"",""ambedue di Bologna"",""Ambedue di Genova"",""Tutti e due di Firenze"",""di ????? di Bellano"",""Tutti e tre di Genova"",""Tutti di Verona"",""ambedue Tedeschi"",""ambedue Inglesi"",""Inglesi"",""ambedue di Firenze"",""ambedue di Cremona""]"
FALSE,,AVS IS 758-781 1770 05 28 p3.jpg,Y,28 May 1770,1770,yes,N,,N,0,0,5,3,2,1,0,1,un figlio,1,1,0,moglie,30,18,12,2,1,1,,10,4,,,7,5,2,Y,"[""Ambedue di Mantova"",""Ambedue di Mantova"",""Ambedue di Bre???"",""di Verona"",""ambedue dal Fina??"",""Ambedue di San Polo"",""Tutti di Ferrara""]"
FALSE,,AVS IS 758-781 1770 05.jpg,Y,21 May 1770,1770,yes,N,,N,1,1,0,0,0,4,4,0,un domestico | moglie | un domestico | un figlio,1,1,0,un domestico,18,14,4,5,5,0,,10,3,,,3,2,1,Y,"[""Ambedue di Vincenza"",""Ambedue di Verona"",""Ambedue di Brescia""]"
FALSE,,AVS IS 758-781 1770 08.jpg,Y,20 August 1770,1770,yes,Y,right,Y,1,2,0,0,0,2,2,0,un domestico | due domestici,0,0,0,,10,8,2,3,3,0,,4,2,,,1,1,0,Y,Ambedue Inglesi
